customer_id,first_name,last_name,birthday,occupation_status,marital_status
1,Corey,Smith,1982-06-07,student,divorced
2,James,Silva,1994-06-10,business_owner,divorced
3,Sabrina,Lee,1979-01-07,employed,married
4,Matthew,Sullivan,1971-01-19,student,married
5,Leslie,Sosa,1979-11-04,business_owner,single
6,Julie,Thomas,1972-03-06,student,married
7,Isaac,Campbell,1991-08-20,business_owner,married
8,Daniel,Williams,2000-07-05,student,married
9,Mark,Burke,1995-04-09,business_owner,single
10,Amy,Kennedy,1984-01-19,business_owner,divorced
11,Matthew,Ryan,1998-06-29,business_owner,married
12,Laura,Williams,1986-04-23,business_owner,single
13,Kristin,Copeland,1960-11-02,employed,divorced
14,Teresa,Smith,1997-08-26,employed,married
15,Roger,Dunn,1973-03-04,employed,single
16,Michael,Anderson,1991-10-31,business_owner,single
17,Teresa,Kelley,1977-01-08,business_owner,divorced
18,Amy,Reed,1972-07-05,employed,single
19,Christopher,Ochoa,1972-05-03,employed,married
20,Aaron,Beck,1969-09-26,employed,divorced
21,David,Davis,1988-09-03,business_owner,divorced
22,Todd,Brock,1957-02-28,business_owner,divorced
23,Donna,Ferrell,2004-03-09,employed,divorced
24,Michael,Davis,1994-11-18,student,married
25,Katrina,Gregory,1957-07-31,employed,single
26,Dustin,Golden,1967-03-11,employed,single
27,Nathaniel,Stevens,1971-01-31,employed,single
28,Joseph,Mcguire,1976-02-27,student,married
29,Mark,Hopkins,1975-05-22,student,single
30,Theresa,Sanchez,1965-04-24,student,divorced
31,Carolyn,Hopkins,1988-07-23,student,single
32,Dominic,Fuentes,1990-06-06,student,married
33,Elizabeth,Johnson,1984-06-29,business_owner,married
34,Summer,Gomez,1978-07-19,employed,divorced
35,Christopher,Conrad,1955-12-12,business_owner,single
36,Michelle,Carroll,1998-09-18,student,divorced
37,Cheryl,Smith,1969-05-04,employed,divorced
38,David,Goodwin,1976-02-02,business_owner,divorced
39,Sandra,Bryant,1972-10-10,business_owner,married
40,Howard,Thomas,1992-05-10,student,single
41,Kristin,Flynn,1990-06-20,employed,married
42,Jacqueline,Hernandez,1979-07-22,business_owner,divorced
43,Victoria,Jackson,1961-05-29,student,single
44,Jeremy,Garrett,1957-02-05,employed,single
45,Virginia,Smith,2004-09-03,business_owner,divorced
46,Stephanie,Ward,2003-07-05,employed,single
47,Frank,Parker,1956-11-01,business_owner,single
48,Jason,Harris,1988-01-29,business_owner,single
49,Douglas,Smith,1987-02-09,business_owner,married
50,Vanessa,Chaney,1994-10-31,student,divorced
51,Molly,Hood,1999-06-23,employed,divorced
52,Emily,Welch,1956-01-30,student,married
53,Elizabeth,Leach,1972-12-22,employed,divorced
54,Bradley,Medina,1991-07-09,business_owner,married
55,Bryan,Bryan,1982-07-04,business_owner,married
56,Wendy,Patton,1979-01-20,business_owner,divorced
57,Michael,Whitaker,1985-05-01,employed,married
58,Micheal,Price,1992-08-04,employed,divorced
59,Sandra,Taylor,1977-04-03,business_owner,single
60,Nathan,Davis,1982-05-21,student,divorced
61,Robert,Taylor,1983-05-20,employed,single
62,Matthew,Davis,2003-06-14,employed,married
63,Brittney,Hudson,1998-08-29,business_owner,married
64,Jessica,Scott,1962-03-13,business_owner,married
65,Christopher,Booth,1986-05-01,employed,single
66,Jeanne,Walker,1961-02-15,employed,single
67,Steven,Johnson,1970-08-07,employed,divorced
68,Margaret,Thomas,1957-01-05,student,single
69,Karen,Murphy,1956-10-13,student,single
70,Jessica,Carrillo,1962-08-11,business_owner,single
71,Joshua,Rodriguez,1954-12-16,student,single
72,Gary,Thompson,1954-12-15,student,married
73,Cathy,Copeland,1997-04-13,student,divorced
74,Evan,Davis,2005-10-22,employed,divorced
75,Joel,Rivera,1998-01-05,student,single
76,Amanda,Thomas,1968-07-27,student,married
77,Robert,Mendoza,1987-04-09,employed,single
78,Kaitlin,Krueger,2000-08-13,student,married
79,Jason,Burch,1964-04-23,employed,single
80,Rebecca,Gray,1965-09-05,business_owner,divorced
81,Gloria,Reese,1968-10-28,student,single
82,Daniel,Giles,1991-05-09,business_owner,divorced
83,Heidi,Leon,1955-03-20,student,divorced
84,Richard,White,2007-08-30,business_owner,single
85,Mary,Wang,1957-01-30,business_owner,divorced
86,James,Nichols,1983-02-02,business_owner,married
87,Matthew,Le,1978-10-12,employed,single
88,Catherine,Berger,1972-10-07,employed,divorced
89,Susan,Bailey,1979-01-11,business_owner,single
90,Keith,Hernandez,1989-09-06,employed,married
91,Kristin,Wilson,1982-04-22,employed,married
92,Jenny,Patel,1996-03-25,business_owner,single
93,Joseph,Shaw,1960-12-19,business_owner,divorced
94,Dennis,Walker,2000-02-28,business_owner,married
95,Tiffany,Manning,2005-07-29,business_owner,married
96,Julie,Novak,1957-04-28,student,single
97,Carla,Cunningham,1986-08-06,business_owner,divorced
98,Kayla,Fisher,1997-03-06,business_owner,married
99,Debbie,Carson,2001-03-31,business_owner,divorced
100,John,Miller,1973-10-12,business_owner,divorced
